id,url,title,genres,averageRating,numVotes,releaseYear
tt0095327,https://www.imdb.com/title/tt0095327/,"Grave of the Fireflies","[""Animation"", ""Drama"", ""War""]",8.5,323574,1988
tt0095765,https://www.imdb.com/title/tt0095765/,"Cinema Paradiso","[""Drama"", ""Romance""]",8.5,289048,1988
tt0027977,https://www.imdb.com/title/tt0027977/,"Modern Times","[""Comedy"", ""Drama"", ""Romance""]",8.5,263995,1936
tt0021749,https://www.imdb.com/title/tt0021749/,"City Lights","[""Comedy"", ""Drama"", ""Romance""]",8.5,199429,1931
tt1424432,https://www.imdb.com/title/tt1424432/,Senna,"[""Biography"", ""Documentary"", ""Sport""]",8.5,77752,2010
tt20850406,https://www.imdb.com/title/tt20850406/,"Sita Ramam","[""Action"", ""Drama"", ""Mystery""]",8.5,71528,2022
tt26548265,https://www.imdb.com/title/tt26548265/,Maharaja,"[""Action"", ""Crime"", ""Drama""]",8.5,49137,2024
tt1152758,https://www.imdb.com/title/tt1152758/,"Dear Zachary: A Letter to a Son About His Father","[""Biography"", ""Crime"", ""Documentary""]",8.5,41719,2008
tt0103767,https://www.imdb.com/title/tt0103767/,Baraka,"[""Documentary""]",8.5,41443,1992
tt7019842,https://www.imdb.com/title/tt7019842/,96,"[""Drama"", ""Romance""]",8.5,38811,2018
tt11580854,https://www.imdb.com/title/tt11580854/,"Sarpatta Parambarai","[""Action"", ""Drama"", ""Sport""]",8.5,26072,2021
tt0346336,https://www.imdb.com/title/tt0346336/,"The Best of Youth","[""Drama"", ""Romance""]",8.5,23563,2003
tt8948790,https://www.imdb.com/title/tt8948790/,Jersey,"[""Drama"", ""Sport""]",8.5,23391,2019
tt0058625,https://www.imdb.com/title/tt0058625/,"Woman in the Dunes","[""Drama"", ""Thriller""]",8.5,23356,1964
tt24082438,https://www.imdb.com/title/tt24082438/,"20 Days in Mariupol","[""Documentary"", ""War""]",8.5,23192,2023
